date,state,fips,cases,deaths
3/6/2023,New Mexico,35,670301,9071
3/6/2023,New York,36,6785652,79680
3/6/2023,North Carolina,37,3467226,29550
3/6/2023,North Dakota,38,286950,2512
3/6/2023,Northern Mariana Islands,69,13395,41
3/6/2023,Ohio,39,3392320,41875
3/6/2023,Oklahoma,40,1287378,16417
3/6/2023,Oregon,41,961523,9366
3/6/2023,Pennsylvania,42,3520978,50360
3/6/2023,Puerto Rico,72,1133738,5810
3/6/2023,Rhode Island,44,460045,3896
3/6/2023,South Carolina,45,1833731,20022
3/6/2023,South Dakota,46,278489,3202
3/6/2023,Tennessee,47,2446944,28933
3/6/2023,Texas,48,8337836,94163
3/6/2023,Utah,49,1089173,5287
3/6/2023,Vermont,50,152272,925
3/6/2023,Virgin Islands,78,24780,130
3/6/2023,Virginia,51,2289934,23738
3/6/2023,Washington,53,1928913,15731
3/6/2023,West Virginia,54,641856,8062
3/6/2023,Wisconsin,55,2003165,16395
3/6/2023,Wyoming,56,185159,2002
3/7/2023,Alabama,1,1642062,21511
3/7/2023,Alaska,2,307958,1438
3/7/2023,American Samoa,60,8320,34
3/7/2023,Arizona,4,2440294,33077
3/7/2023,Arkansas,5,1006336,13013
3/7/2023,California,6,12112791,103753
3/7/2023,Colorado,8,1764893,14147
3/7/2023,Connecticut,9,976310,12196
3/7/2023,Delaware,10,330793,3324
3/7/2023,District of Columbia,11,177714,1430
3/7/2023,Florida,12,7531055,86850
3/7/2023,Georgia,13,2976487,40918
3/7/2023,Guam,66,61951,421
3/7/2023,Hawaii,15,370946,1831
3/7/2023,Idaho,16,520018,5414
3/7/2023,Illinois,17,4080183,41443
3/7/2023,Indiana,18,2047622,26091
3/7/2023,Iowa,19,902075,10702
3/7/2023,Kansas,20,936456,10192
3/7/2023,Kentucky,21,1718471,18224
3/7/2023,Louisiana,22,1570671,18738
3/7/2023,Maine,23,318130,2940
3/7/2023,Maryland,24,1364777,16576
3/7/2023,Massachusetts,25,2220962,24249
3/7/2023,Michigan,26,3054792,42150
3/7/2023,Minnesota,27,1775264,14820
3/7/2023,Mississippi,28,989282,13379
3/7/2023,Missouri,29,1787905,23883
3/7/2023,Montana,30,329637,3675
3/7/2023,Nebraska,31,567608,5045
3/7/2023,Nevada,32,888983,12053
3/7/2023,New Hampshire,33,378089,3002
3/7/2023,New Jersey,34,3047556,36042
3/7/2023,New Mexico,35,670508,9073
3/7/2023,New York,36,6786691,79689
3/7/2023,North Carolina,37,3467226,29550
3/7/2023,North Dakota,38,286950,2512
3/7/2023,Northern Mariana Islands,69,13395,41
3/7/2023,Ohio,39,3392320,41875
3/7/2023,Oklahoma,40,1287378,16417
3/7/2023,Oregon,41,961523,9366
3/7/2023,Pennsylvania,42,3520978,50360
3/7/2023,Puerto Rico,72,1133815,5816
3/7/2023,Rhode Island,44,460045,3896
3/7/2023,South Carolina,45,1836568,20081
3/7/2023,South Dakota,46,278489,3202
3/7/2023,Tennessee,47,2446944,28933
3/7/2023,Texas,48,8337836,94170
3/7/2023,Utah,49,1089173,5287
3/7/2023,Vermont,50,152272,925
3/7/2023,Virgin Islands,78,24795,130
3/7/2023,Virginia,51,2291951,23755
3/7/2023,Washington,53,1928913,15731
3/7/2023,West Virginia,54,641856,8062
3/7/2023,Wisconsin,55,2005207,16416
3/7/2023,Wyoming,56,185385,2004
3/8/2023,Alabama,1,1644533,21534
3/8/2023,Alaska,2,307958,1438
3/8/2023,American Samoa,60,8320,34
