fips,cases
20163,1582
20165,964
20167,2154
20169,17081
20171,1575
20173,171139
20175,8502
20177,60581
20179,899
20181,1806
20183,829
20185,1398
20187,528
20189,1917
20191,6637
20193,3017
20195,946
20197,1996
20199,488
20201,1619
20203,598
20205,3449
20207,1036
20209,54575
21001,7803
21003,8512
21005,8489
21007,1742
21009,17288
21011,4646
21013,11139
21015,47219
21017,7807
21019,22874
21021,11425
21023,2752
21025,5389
21027,6685
21029,29123
21031,4746
21033,5077
21035,11782
21037,30133
21039,1356
21041,4321
21043,12042
21045,5388
21047,20105
21049,14495
21051,9730
21053,4759
21055,2845
21057,2772
21059,38783
21061,3288
21063,3680
21065,5296
21067,122877
21069,4981
21071,16922
21073,18545
21075,1476
21077,2799
21079,6014
21081,9976
21083,13659
21085,10065
21087,4827
21089,16765
21091,3153
21093,43711
21095,12804
21097,8524
21099,6888
21101,17657
21103,6386
21105,1100
21107,19722
21109,5219
21111,282746
21113,19107
21115,9070
21117,54074
21119,6064
21121,14999
21123,4817
21125,26976
21127,5548
21129,3505
21131,5217
21133,9847
21135,5744
21137,8904
21139,3101
21141,10322
21143,3619
21151,35443
21153,5143
21155,8038
21157,10247
21159,4230
21161,6310
21145,23942
21147,7713
21149,3336
21163,7464
21165,2364
21167,9449
21169,3720
21171,4501
21173,11351
21175,6720
21177,13284
21179,19224
21181,2717
21183,8956
21185,23641
21187,3126
21189,2094
21191,4367
21193,15989
21195,25157
21197,6473
21199,22113
21201,878
21203,6652
21205,9776
21207,8367
21209,22857
21211,16888
21213,7513
21215,7070
21217,11828
21219,3556
21221,5094
21223,2751
21225,5450
,2504
21227,55172
21229,5085
21231,8319
21233,4899
21235,17160
21237,3563
21239,9505
22001,18916
22003,9056
22005,45284
22007,6786
22009,14344
22011,11191
22013,4994
22015,50986
22017,88493
22019,68051
22021,4606
22023,1387
22025,3133
22027,4107
22029,6447
22031,9764
22033,144239
22035,3345
22037,8355
22039,10214
22041,8875
22043,7530
22045,23860
22047,11652
22049,5587
22051,142302
22053,8183
22059,5087
22055,79038
22057,34863
22061,15398
22063,47266
22065,3933
22067,8494
22069,13020
22071,113978
22073,64756
22075,7928
22077,7955
22079,42626
22081,2571
22083,8982
22085,8021
22087,14422
22089,17199
22091,2274
22093,7343
22095,13251
22097,27782
22099,15822
22101,15264
22103,91332
22105,45203
22107,1329
22109,38871
22111,8794
,1240
22113,19076
22115,11767
22117,16250
22119,14439
22121,9658
22123,4839
22125,3356
22127,5557
23001,28390
23003,18273
23005,66198
23007,7304
23009,10161
23011,30041
23013,8116
23015,6908
23017,14510
23019,37404
23021,3915
23023,7003
23025,12915
,12
23027,8054
23029,5725
23031,51831
24001,21668
24003,119540
24005,172062
24510,149178
24009,14759
24011,7319
24013,28072
24015,20310
24017,38636
24019,9538
24021,58377
24023,7175
24025,50004
24027,64020
24029,3950
24031,245431
24033,229038
24035,8832
24039,6182
24037,24548
24041,7221
24043,40932
24045,24823
24047,10858
25001,49369
25003,35236
25005,181873
25007,4354
25009,256317
25011,14693
25013,171538
25015,39606
25017,436031
25019,3945
25021,173154
25023,143179
25025,267502
,200144
25027,239929
26001,1930
26003,2272
26005,32161
26007,6567
26009,5273
26011,3904
26013,2776
26015,16934
26017,31709
26019,4134
26021,42016
26023,14331
26025,42499
26027,13113
26029,5863
26031,5787
26033,13377
26035,8148
26037,28129
26039,3195
26041,12429
26043,9358
26045,35015
26047,7600
26049,125052
26051,6787
26053,4293
26055,21528
26057,15893
26059,12704
26061,9540
26063,9748
26065,84720
26067,22991
26069,5688
26071,3602
26073,17964
26075,55504
26077,75681
26079,4499
26081,201604
26083,663
26085,2458
26087,24821
26089,4432
26091,32320
26093,58236
26095,2527
26097,2990
26099,300364
26101,5630
26103,20120
26105,8342
26107,10292
26109,7161
26111,23477
26113,3586
26115,48302
26117,20041
26119,1995
26121,50765
26123,13691
26125,384243
26127,7724
26129,5076
26131,1341
26133,5992
26135,1694
26137,6779
26139,87845
26141,2382
26143,5620
26145,62152
26151,10606
26153,2234
26155,22189
26147,50501
26149,16077
26157,15697
,16397
26159,20780
26161,109931
26163,535461
26165,8663
27001,3679
27003,118906
27005,10456
27007,14326
27009,16981
27011,1763
27013,21271
27015,7939
27017,11492
27019,31964
27021,8581
27023,3815
27025,17224
27027,23642
27029,2522
27031,824
27033,3771
27035,19296
27037,136511
27039,6697
27041,13330
27043,4457
27045,5834
27047,10539
27049,15569
27051,1811
27053,384129
27055,5476
27057,6090
27059,11701
27061,13529
