name,fips,cases
Georgia,13027.0,4079.0
Texas,48047.0,2188.0
New York,36007.0,59619.0
Colorado,8014.0,18456.0
Florida,12011.0,773219.0
Illinois,17009.0,2879.0
Indiana,18013.0,2987.0
Kansas,20013.0,3165.0
Minnesota,27015.0,8047.0
Nebraska,31017.0,662.0
Ohio,39015.0,14205.0
South Dakota,46013.0,12245.0
Texas,48049.0,15881.0
Wisconsin,55009.0,103453.0
South Dakota,46015.0,1690.0
North Carolina,37019.0,41250.0
Virginia,51025.0,4099.0
Georgia,13029.0,11257.0
Oklahoma,40013.0,17454.0
Iowa,19019.0,5566.0
Missouri,29021.0,29792.0
Virginia,51027.0,6201.0
Virginia,51029.0,4993.0
Pennsylvania,42017.0,156865.0
Iowa,19021.0,7000.0
Virginia,51530.0,2339.0
Nebraska,31019.0,14399.0
South Dakota,46017.0,694.0
Wisconsin,55011.0,4204.0
Kentucky,21029.0,29304.0
Georgia,13031.0,17920.0
Alabama,1011.0,3042.0
North Carolina,37021.0,71238.0
Illinois,17011.0,10328.0
Georgia,13033.0,6324.0
North Carolina,37023.0,32089.0
North Dakota,38013.0,494.0
North Dakota,38015.0,41245.0
Texas,48051.0,5654.0
New Jersey,34005.0,142308.0
Texas,48053.0,13215.0
Wisconsin,55013.0,5164.0
Nebraska,31021.0,1558.0
Alabama,1013.0,6568.0
Iowa,19023.0,3839.0
Kansas,20015.0,22625.0
Kentucky,21031.0,4783.0
Missouri,29023.0,12471.0
Nebraska,31023.0,2323.0
Ohio,39017.0,117019.0
Pennsylvania,42019.0,55435.0
California,6007.0,52107.0
Idaho,16023.0,555.0
South Dakota,46019.0,3264.0
Georgia,13035.0,7693.0
North Carolina,37025.0,72498.0
West Virginia,54011.0,34174.0
Puerto Rico,72023.0,14666.0
Utah,49005.0,41785.0
Louisiana,22017.0,88991.0
Oklahoma,40015.0,10207.0
Puerto Rico,72025.0,45707.0
California,6009.0,9681.0
Louisiana,22019.0,68537.0
Kentucky,21033.0,5103.0
Louisiana,22021.0,4613.0
Missouri,29025.0,2080.0
North Carolina,37027.0,30473.0
Texas,48055.0,17104.0
Vermont,50005.0,6555.0
Alabama,1015.0,41502.0
Arkansas,5013.0,1197.0
Florida,12013.0,4940.0
Georgia,13037.0,1591.0
Illinois,17013.0,1925.0
Iowa,19025.0,3083.0
Michigan,26025.0,42781.0
Mississippi,28013.0,5598.0
South Carolina,45017.0,3621.0
Texas,48057.0,7003.0
West Virginia,54013.0,2271.0
Texas,48059.0,3529.0
Missouri,29027.0,14465.0
Kentucky,21035.0,11846.0
Wisconsin,55015.0,16950.0
Maryland,24009.0,14832.0
Idaho,16025.0,182.0
Pennsylvania,42021.0,43742.0
Georgia,13039.0,13683.0
Missouri,29029.0,10909.0
New Jersey,34007.0,170014.0
North Carolina,37029.0,2215.0
Louisiana,22023.0,1394.0
Pennsylvania,42023.0,1045.0
Texas,48061.0,131084.0
Texas,48063.0,3562.0
Kentucky,21037.0,30368.0
South Dakota,46021.0,307.0
Tennessee,47013.0,16216.0
Virginia,51031.0,17752.0
Wyoming,56005.0,13964.0
Puerto Rico,72027.0,11760.0
Oklahoma,40017.0,48229.0
Georgia,13043.0,2597.0
Tennessee,47015.0,5224.0
Puerto Rico,72029.0,13479.0
Idaho,16027.0,70913.0
Missouri,29031.0,23506.0
New Jersey,34009.0,30603.0
Montana,30009.0,2476.0
Pennsylvania,42025.0,20293.0
Utah,49007.0,6074.0
Wyoming,56007.0,5036.0
Idaho,16029.0,1667.0
Kentucky,21039.0,1363.0
Minnesota,27017.0,11498.0
Puerto Rico,72031.0,52989.0
Maryland,24011.0,7356.0
Virginia,51033.0,9062.0
Arkansas,5015.0,7293.0
Georgia,13045.0,28559.0
Illinois,17015.0,5041.0
Indiana,18015.0,4934.0
Iowa,19027.0,5691.0
Kentucky,21041.0,4340.0
Maryland,24013.0,28268.0
Mississippi,28015.0,3090.0
Missouri,29033.0,2696.0
