date,state,fips,cases,deaths
3/4/2021,Missouri,29,526806,8571
3/4/2021,Montana,30,100640,1377
3/4/2021,Nebraska,31,202521,2213
3/4/2021,Nevada,32,295166,5005
3/4/2021,New Hampshire,33,76178,1178
3/4/2021,New Jersey,34,802669,23491
3/4/2021,New Mexico,35,186156,3771
3/4/2021,New York,36,1670973,47565
3/4/2021,North Carolina,37,869364,11434
3/4/2021,North Dakota,38,100214,1478
3/4/2021,Northern Mariana Islands,69,144,2
3/4/2021,Ohio,39,974480,16750
3/4/2021,Oklahoma,40,426641,4534
3/4/2021,Oregon,41,156714,2284
3/4/2021,Pennsylvania,42,946455,24265
3/4/2021,Puerto Rico,72,134482,2053
3/4/2021,Rhode Island,44,127727,2539
3/4/2021,South Carolina,45,521563,8660
3/4/2021,South Dakota,46,113065,1896
3/4/2021,Tennessee,47,765869,11407
3/4/2021,Texas,48,2680637,44920
3/4/2021,Utah,49,373319,1965
3/4/2021,Vermont,50,15686,207
3/4/2021,Virgin Islands,78,2704,25
3/4/2021,Virginia,51,581408,9357
3/4/2021,Washington,53,346030,5098
3/4/2021,West Virginia,54,132677,2309
3/4/2021,Wisconsin,55,619942,7087
3/4/2021,Wyoming,56,54685,682
3/5/2021,Alabama,1,498887,10122
3/5/2021,Alaska,2,58870,292
3/5/2021,Arizona,4,823384,16272
3/5/2021,Arkansas,5,324326,5283
3/5/2021,California,6,3592812,53838
3/5/2021,Colorado,8,436848,6075
3/5/2021,Connecticut,9,285330,7704
3/5/2021,Delaware,10,87874,1453
3/5/2021,District of Columbia,11,41122,1027
3/5/2021,Florida,12,1936199,31521
3/5/2021,Georgia,13,994416,17260
3/5/2021,Guam,66,8716,132
3/5/2021,Hawaii,15,27693,440
3/5/2021,Idaho,16,172929,1880
3/5/2021,Illinois,17,1198242,22946
3/5/2021,Indiana,18,668520,12697
3/5/2021,Iowa,19,339121,5549
3/5/2021,Kansas,20,298897,4812
3/5/2021,Kentucky,21,412863,4912
3/5/2021,Louisiana,22,433045,9716
3/5/2021,Maine,23,45452,704
3/5/2021,Maryland,24,385860,7930
3/5/2021,Massachusetts,25,588209,16322
3/5/2021,Michigan,26,653447,16591
3/5/2021,Minnesota,27,488238,6602
3/5/2021,Mississippi,28,296745,6783
3/5/2021,Missouri,29,527396,8599
3/5/2021,Montana,30,100798,1381
3/5/2021,Nebraska,31,202871,2222
3/5/2021,Nevada,32,295558,5024
3/5/2021,New Hampshire,33,76422,1178
3/5/2021,New Jersey,34,806367,23521
3/5/2021,New Mexico,35,186460,3789
3/5/2021,New York,36,1679124,47672
3/5/2021,North Carolina,37,871407,11475
3/5/2021,North Dakota,38,100308,1478
3/5/2021,Northern Mariana Islands,69,144,2
3/5/2021,Ohio,39,976230,17502
3/5/2021,Oklahoma,40,427558,4534
3/5/2021,Oregon,41,156985,2301
3/5/2021,Pennsylvania,42,949223,24311
3/5/2021,Puerto Rico,72,134681,2056
3/5/2021,Rhode Island,44,128121,2541
3/5/2021,South Carolina,45,523258,8699
3/5/2021,South Dakota,46,113229,1896
3/5/2021,Tennessee,47,767073,11439
3/5/2021,Texas,48,2686191,45195
3/5/2021,Utah,49,373924,1970
3/5/2021,Vermont,50,15819,207
3/5/2021,Virgin Islands,78,2714,25
3/5/2021,Virginia,51,583060,9428
3/5/2021,Washington,53,346733,5104
3/5/2021,West Virginia,54,132964,2318
3/5/2021,Wisconsin,55,620663,7099
3/5/2021,Wyoming,56,54764,682
3/6/2021,Alabama,1,499411,10149
3/6/2021,Alaska,2,58870,292
3/6/2021,Arizona,4,825119,16323
3/6/2021,Arkansas,5,324653,5297
3/6/2021,California,6,3597075,54124
3/6/2021,Colorado,8,437650,6075
3/6/2021,Connecticut,9,285330,7704
3/6/2021,Delaware,10,88139,1464
3/6/2021,District of Columbia,11,41273,1030
3/6/2021,Florida,12,1940889,31619
3/6/2021,Georgia,13,996616,17347
3/6/2021,Guam,66,8718,134
3/6/2021,Hawaii,15,27774,441
3/6/2021,Idaho,16,173011,1882
3/6/2021,Illinois,17,1200720,23002
3/6/2021,Indiana,18,669754,12726
3/6/2021,Iowa,19,339511,5553
3/6/2021,Kansas,20,298900,4812
3/6/2021,Kentucky,21,413684,4952
3/6/2021,Louisiana,22,433045,9716
3/6/2021,Maine,23,45635,704
3/6/2021,Maryland,24,386792,7941
3/6/2021,Massachusetts,25,589931,16374
